"","abcb4","abcc2","abcg2a","adgrl1a","agtr1b","aoc2","aplnrb","bcl6b","cldn5a","cxcr4b","dab2","dll4","eGFP","ehd2b","ehd3","esm1","fgf4","hey1","hey2","kdrl","lypd6","myo1hb","osr2","pdgfrb","pecam1","plvapb","prdx1","slc16a1a","slc2a1a","slc7a5","slco1c1","slco1d1","spock3","stab1","stab2","sult2st1","zgc.158423","zic2b","x","y","blood","cell_type","cor"
"cell_31521",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26624,8364,"blood_811","VEC_2",0.186
"cell_31571",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26608,8367,"blood_811","other",-0.042
"cell_31581",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27349,8373,"blood_817","CapEC",0.317
"cell_31582",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,27669,8370,"blood_813","AEC",0.064
"cell_31585",0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,26637,8373,"blood_811","other",-0.071
"cell_31586",0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26650,8373,"blood_811","CapEC",0.435
"cell_31627",0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,26725,8375,"blood_811","CapEC",0.303
"cell_31653",0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26596,8378,"blood_811","CapEC",0.189
"cell_31673",0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,26620,8382,"blood_811","CapEC",0.275
"cell_31725",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26807,8382,"blood_819","AEC",0.495
"cell_31781",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27761,8397,"blood_818","CapEC",0.356
"cell_31783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26601,8390,"blood_811","CapEC",0.363
"cell_31818",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26744,8395,"blood_811","other",-0.042
"cell_31820",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,27730,8398,"blood_818","CapEC",0.289
"cell_31825",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,26645,8397,"blood_811","VEC_1",0.582
"cell_31837",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,26604,8402,"blood_811","CapEC",0.302
"cell_31840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27343,8398,"blood_817","other",-0.046
"cell_31848",0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,27773,8401,"blood_818","AEC",0.02
"cell_31866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26624,8403,"blood_811","VEC_2",0.105
"cell_31879",0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,27714,8404,"blood_818","CapEC",0.07
"cell_31885",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26776,8405,"blood_811","AEC",0.118
"cell_31905",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,26705,8404,"blood_811","CapEC",0.577
"cell_31909",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,27751,8407,"blood_818","CapEC",0.175
"cell_31989",0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,1,4,0,0,0,1,0,0,1,0,27732,8419,"blood_818","CapEC",0.413
"cell_32031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26630,8423,"blood_811","VEC_2",0.437
"cell_32063",0,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,26766,8435,"blood_811","CapEC",0.139
"cell_32093",0,0,0,0,0,2,0,0,2,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,1,0,27758,8441,"blood_818","VEC_1",0.507
"cell_32099",0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,27134,8436,"blood_827","other",-0.041
"cell_32139",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,26730,8436,"blood_811","CapEC",0.319
"cell_32165",1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,27057,8443,"blood_828","CapEC",0.122
"cell_32310",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26682,8462,"blood_829","other",-0.071
"cell_32329",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,19644,8459,"blood_833","CapEC",0.133
"cell_32352",0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27051,8464,"blood_828","CapEC",0.281
"cell_32363",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,27742,8461,"blood_831","CapEC",0.053
"cell_32377",0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,1,2,0,1,0,27133,8467,"blood_832","CapEC",0.177
"cell_32383",0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26752,8465,"blood_811","CapEC",0.019
"cell_32392",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27753,8465,"blood_831","other",-0.058
"cell_32401",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,27568,8467,"blood_834","CapEC",0.053
"cell_32435",2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19666,8469,"blood_833","VEC_2",0.088
