"","region_id","region_name","feature_name"
"1","region7","MoCtA","agtr1b"
"2","region7","MoCtA","eGFP"
"3","region7","MoCtA","prdx1"
"4","region7","MoCtA","zgc158423"
"5","region7","MoCtA","lypd6"
"6","region7","MoCtA","bcl6b"
"7","region7","MoCtA","dab2"
"8","region7","MoCtA","abcb4"
"9","region7","MoCtA","adgrl1a"
"10","region36","AMsCtA","spock3"
"11","region36","AMsCtA","bcl6b"
"12","region36","AMsCtA","adgrl1a"
"13","region31","PMsCtA","eGFP"
"14","region31","PMsCtA","eGFP"
"15","region31","PMsCtA","ehd3"
"16","region30","PrCm","stab1"
"17","region30","PrCm","stab1"
"18","region30","PrCm","prdx1"
"19","region30","PrCm","zgc158423"
"20","region30","PrCm","zgc158423"
"21","region30","PrCm","abcb4"
"22","region29","PrCm","stab1"
"23","region29","PrCm","slc7a5"
"24","region29","PrCm","ehd3"
"25","region29","PrCm","slco1c1"
"26","region26","CeCtA","spock3"
"27","region26","CeCtA","slc7a5"
"28","region26","CeCtA","ehd3"
"29","region23","MoCtA","spock3"
"30","region23","MoCtA","slc7a5"
"31","region20","Other","aoc2"
"32","region20","Other","slco1c1"
"33","region14","PrA","spock3"
"34","region14","PrA","slc7a5"
"35","region14","PrA","slc7a5"
"36","region14","PrA","slc7a5"
"37","region14","PrA","dll4"
"38","region11","MoCtA","eGFP"
"39","region11","MoCtA","eGFP"
"40","region11","MoCtA","eGFP"
"41","region11","MoCtA","ehd2b"
"42","region11","MoCtA","pecam1"
"43","blood_997","BA","osr2"
"44","blood_997","BA","stab1"
"45","blood_997","BA","stab1"
"46","blood_997","BA","spock3"
"47","blood_997","BA","eGFP"
"48","blood_997","BA","eGFP"
"49","blood_997","BA","eGFP"
"50","blood_997","BA","eGFP"
"51","blood_997","BA","eGFP"
"52","blood_997","BA","eGFP"
"53","blood_997","BA","eGFP"
"54","blood_997","BA","eGFP"
"55","blood_997","BA","eGFP"
"56","blood_997","BA","eGFP"
"57","blood_997","BA","eGFP"
"58","blood_997","BA","eGFP"
"59","blood_997","BA","eGFP"
"60","blood_997","BA","eGFP"
"61","blood_997","BA","slc7a5"
"62","blood_997","BA","slc7a5"
"63","blood_997","BA","slc7a5"
"64","blood_997","BA","slc7a5"
"65","blood_997","BA","slc7a5"
"66","blood_997","BA","ehd3"
"67","blood_997","BA","ehd3"
"68","blood_997","BA","aoc2"
"69","blood_997","BA","aoc2"
"70","blood_997","BA","aoc2"
"71","blood_997","BA","zgc158423"
"72","blood_997","BA","zgc158423"
"73","blood_997","BA","pdgfrb"
"74","blood_997","BA","pdgfrb"
"75","blood_997","BA","pdgfrb"
"76","blood_997","BA","cldn5a"
"77","blood_997","BA","cldn5a"
"78","blood_997","BA","cldn5a"
"79","blood_997","BA","cldn5a"
"80","blood_997","BA","cldn5a"
"81","blood_997","BA","sult2st1"
"82","blood_997","BA","sult2st1"
"83","blood_997","BA","ehd2b"
"84","blood_997","BA","ehd2b"
"85","blood_997","BA","ehd2b"
"86","blood_997","BA","ehd2b"
"87","blood_997","BA","ehd2b"
"88","blood_997","BA","hey1"
"89","blood_997","BA","hey1"
"90","blood_997","BA","pecam1"
"91","blood_997","BA","esm1"
"92","blood_997","BA","adgrl1a"
"93","blood_98","PMsCtA","osr2"
"94","blood_98","PMsCtA","eGFP"
"95","blood_98","PMsCtA","eGFP"
"96","blood_98","PMsCtA","slc7a5"
"97","blood_98","PMsCtA","ehd3"
"98","blood_98","PMsCtA","ehd3"
"99","blood_98","PMsCtA","pdgfrb"
"100","blood_98","PMsCtA","hey2"
"101","blood_96","MoCtA","eGFP"
"102","blood_96","MoCtA","cldn5a"
"103","blood_96","MoCtA","abcc2"
"104","blood_96","MoCtA","abcc2"
"105","blood_95","PHBC","osr2"
"106","blood_95","PHBC","osr2"
"107","blood_95","PHBC","stab1"
"108","blood_95","PHBC","stab1"
"109","blood_95","PHBC","stab1"
"110","blood_95","PHBC","stab1"
"111","blood_95","PHBC","stab1"
"112","blood_95","PHBC","stab1"
"113","blood_95","PHBC","stab1"
"114","blood_95","PHBC","agtr1b"
"115","blood_95","PHBC","spock3"
"116","blood_95","PHBC","spock3"
"117","blood_95","PHBC","eGFP"
"118","blood_95","PHBC","eGFP"
"119","blood_95","PHBC","eGFP"
"120","blood_95","PHBC","eGFP"
"121","blood_95","PHBC","eGFP"
"122","blood_95","PHBC","eGFP"
"123","blood_95","PHBC","eGFP"
"124","blood_95","PHBC","eGFP"
"125","blood_95","PHBC","eGFP"
"126","blood_95","PHBC","eGFP"
"127","blood_95","PHBC","eGFP"
"128","blood_95","PHBC","eGFP"
"129","blood_95","PHBC","eGFP"
"130","blood_95","PHBC","eGFP"
"131","blood_95","PHBC","eGFP"
"132","blood_95","PHBC","eGFP"
"133","blood_95","PHBC","eGFP"
"134","blood_95","PHBC","eGFP"
"135","blood_95","PHBC","eGFP"
"136","blood_95","PHBC","eGFP"
"137","blood_95","PHBC","eGFP"
"138","blood_95","PHBC","eGFP"
"139","blood_95","PHBC","eGFP"
"140","blood_95","PHBC","eGFP"
"141","blood_95","PHBC","eGFP"
"142","blood_95","PHBC","eGFP"
"143","blood_95","PHBC","eGFP"
"144","blood_95","PHBC","eGFP"
"145","blood_95","PHBC","eGFP"
"146","blood_95","PHBC","eGFP"
"147","blood_95","PHBC","eGFP"
"148","blood_95","PHBC","slc7a5"
"149","blood_95","PHBC","slc7a5"
"150","blood_95","PHBC","slc7a5"
"151","blood_95","PHBC","slc7a5"
"152","blood_95","PHBC","slc7a5"
"153","blood_95","PHBC","slc7a5"
"154","blood_95","PHBC","slc7a5"
"155","blood_95","PHBC","slc7a5"
"156","blood_95","PHBC","slc7a5"
"157","blood_95","PHBC","slc7a5"
"158","blood_95","PHBC","slc7a5"
"159","blood_95","PHBC","slc7a5"
"160","blood_95","PHBC","slc7a5"
"161","blood_95","PHBC","slc7a5"
"162","blood_95","PHBC","slc7a5"
"163","blood_95","PHBC","stab2"
"164","blood_95","PHBC","stab2"
"165","blood_95","PHBC","stab2"
"166","blood_95","PHBC","stab2"
"167","blood_95","PHBC","prdx1"
"168","blood_95","PHBC","prdx1"
"169","blood_95","PHBC","ehd3"
"170","blood_95","PHBC","aoc2"
