"","region_id","region_name","feature_name"
"1","blood_95","dorsal","cldn5a"
"2","blood_95","dorsal","cldn5a"
"3","blood_95","dorsal","eGFP"
"4","blood_95","dorsal","eGFP"
"5","blood_95","dorsal","eGFP"
"6","blood_95","dorsal","slc7a5"
"7","blood_95","dorsal","slc7a5"
"8","blood_95","dorsal","slc7a5"
"9","blood_95","dorsal","slc7a5"
"10","blood_95","dorsal","slc7a5"
"11","blood_95","dorsal","stab1"
"12","blood_95","dorsal","stab1"
"13","blood_95","dorsal","slc16a1a"
"14","blood_95","dorsal","slc16a1a"
"15","blood_95","dorsal","slc16a1a"
"16","blood_95","dorsal","slco1d1"
"17","blood_95","dorsal","slco1d1"
"18","blood_97","dorsal","ehd2b"
"19","blood_97","dorsal","slc7a5"
"20","blood_97","dorsal","slc7a5"
"21","blood_97","dorsal","stab1"
"22","blood_97","dorsal","stab1"
"23","blood_97","dorsal","ehd3"
"24","blood_97","dorsal","slc16a1a"
"25","blood_97","dorsal","slc16a1a"
"26","blood_97","dorsal","cxcr4b"
"27","blood_98","no","slco1c1"
"28","blood_73","dorsal","cldn5a"
"29","blood_73","dorsal","spock3"
"30","blood_73","dorsal","hey1"
"31","blood_73","dorsal","slc2a1a"
"32","blood_73","dorsal","slc2a1a"
"33","blood_73","dorsal","eGFP"
"34","blood_73","dorsal","eGFP"
"35","blood_73","dorsal","slc7a5"
"36","blood_73","dorsal","slc7a5"
"37","blood_73","dorsal","slc7a5"
"38","blood_73","dorsal","slc7a5"
"39","blood_73","dorsal","slc7a5"
"40","blood_73","dorsal","slc7a5"
"41","blood_73","dorsal","slc7a5"
"42","blood_73","dorsal","slc7a5"
"43","blood_73","dorsal","slc7a5"
"44","blood_73","dorsal","slc7a5"
"45","blood_73","dorsal","slc7a5"
"46","blood_73","dorsal","slc7a5"
"47","blood_73","dorsal","slc7a5"
"48","blood_73","dorsal","slc7a5"
"49","blood_73","dorsal","zgc:158423"
"50","blood_73","dorsal","zgc:158423"
"51","blood_73","dorsal","stab1"
"52","blood_73","dorsal","stab1"
"53","blood_73","dorsal","stab1"
"54","blood_73","dorsal","stab1"
"55","blood_73","dorsal","zic2b"
"56","blood_73","dorsal","hey2"
"57","blood_73","dorsal","slc16a1a"
"58","blood_73","dorsal","slc16a1a"
"59","blood_73","dorsal","slc16a1a"
"60","blood_73","dorsal","slc16a1a"
"61","blood_73","dorsal","slc16a1a"
"62","blood_73","dorsal","slc16a1a"
"63","blood_73","dorsal","adgrl1a"
"64","blood_73","dorsal","osr2"
"65","blood_73","dorsal","pecam1"
"66","blood_73","dorsal","pecam1"
"67","blood_73","dorsal","agtr1b"
"68","blood_73","dorsal","cxcr4b"
"69","blood_73","dorsal","myo1hb"
"70","blood_73","dorsal","myo1hb"
"71","blood_75","dorsal","cldn5a"
"72","blood_75","dorsal","cldn5a"
"73","blood_75","dorsal","cldn5a"
"74","blood_75","dorsal","cldn5a"
"75","blood_75","dorsal","spock3"
"76","blood_75","dorsal","spock3"
"77","blood_75","dorsal","eGFP"
"78","blood_75","dorsal","slc7a5"
"79","blood_75","dorsal","slc7a5"
"80","blood_75","dorsal","slc7a5"
"81","blood_75","dorsal","slc7a5"
"82","blood_75","dorsal","slc7a5"
"83","blood_75","dorsal","zgc:158423"
"84","blood_75","dorsal","dll4"
"85","blood_75","dorsal","slc16a1a"
"86","blood_75","dorsal","pdgfrb"
"87","blood_75","dorsal","esm1"
"88","blood_75","dorsal","abcc2"
"89","blood_75","dorsal","pecam1"
"90","blood_75","dorsal","kdrl"
"91","blood_75","dorsal","sult2st1"
"92","blood_76","PrV","slc7a5"
"93","blood_76","PrV","slc7a5"
"94","blood_79","PrV","stab1"
"95","blood_81","Trunk","slc2a1a"
"96","blood_81","Trunk","eGFP"
"97","blood_81","Trunk","ehd2b"
