"","abcb4","abcc2","abcg2a","adgrl1a","agtr1b","aoc2","aplnrb","bcl6b","cldn5a","cxcr4b","dab2","dll4","eGFP","ehd2b","ehd3","esm1","fgf4","hey1","hey2","kdrl","lypd6","myo1hb","osr2","pdgfrb","pecam1","plvapb","prdx1","slc16a1a","slc2a1a","slc7a5","slco1c1","slco1d1","spock3","stab1","stab2","sult2st1","zgc.158423","zic2b","y","x","blood","cell_type","cor"
"cell_46576",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,20845,7091,"blood_983","CapEC",0.375
"cell_46580",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,20846,6861,"blood_986","other",-0.087
"cell_46591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20843,14425,"blood_975","CapEC",0.202
"cell_46610",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,20849,7747,"blood_980","CapEC",0.303
"cell_46615",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20848,14176,"blood_965","other",-0.008
"cell_46616",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,20849,15192,"blood_979","other",-0.024
"cell_46669",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20849,7072,"blood_987","CapEC",0.165
"cell_46678",0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,20851,7731,"blood_980","CapEC",0.479
"cell_46782",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,20864,7070,"blood_987","other",-0.02
"cell_46791",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,20868,7719,"blood_980","CapEC",0.199
"cell_46816",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,20865,6653,"blood_990","AEC",0.123
"cell_46818",0,1,0,0,1,0,1,1,2,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,5,0,2,0,1,0,0,2,0,20864,14668,"blood_988","CapEC",0.314
"cell_46824",0,0,1,0,0,0,1,3,2,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,20868,7752,"blood_980","CapEC",0.238
"cell_46853",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20870,14829,"blood_989","CapEC",0.376
"cell_46866",0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20867,7735,"blood_980","CapEC",0.015
"cell_46937",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20875,7772,"blood_980","CapEC",0.095
"cell_46946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20875,14167,"blood_993","UnEC",0.099
"cell_46954",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,20881,15652,"blood_996","UnEC",0.252
"cell_46955",0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,20875,6667,"blood_990","CapEC",0.368
"cell_46994",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20875,7055,"blood_991","AEC",0.455
"cell_47056",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,20887,15613,"blood_994","CapEC",0.338
"cell_47078",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20880,7743,"blood_980","CapEC",0.123
"cell_47079",0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,20886,7760,"blood_980","VEC_2",0.04
"cell_47085",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,20888,15638,"blood_996","CapEC",0.33
"cell_47090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20883,7050,"blood_991","UnEC",0.914
"cell_47129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20882,15627,"blood_994","CapEC",0.677
"cell_47130",0,0,0,0,0,0,0,1,2,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,1,0,0,3,0,20891,15423,"blood_995","CapEC",0.464
"cell_47137",1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,20892,14825,"blood_989","CapEC",0.237
"cell_47139",0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20891,6764,"blood_997","CapEC",0.039
"cell_47163",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20889,7751,"blood_980","CapEC",0.123
"cell_47205",0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,20899,15667,"blood_996","CapEC",0.293
"cell_47229",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20896,6780,"blood_997","VEC_2",0.294
"cell_47275",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20906,14188,"blood_993","AngEC",0.161
"cell_47300",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20903,7021,"blood_1001","CapEC",0.347
"cell_47314",0,0,0,0,0,0,0,6,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,20905,7788,"blood_980","CapEC",0.115
"cell_47328",0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20906,6889,"blood_1002","VEC_2",0.253
"cell_47340",0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1,20907,15641,"blood_996","VEC_2",0.172
"cell_47349",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20903,6807,"blood_997","CapEC",0.677
"cell_47352",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,20906,15679,"blood_996","CapEC",0.343
"cell_47361",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20908,6791,"blood_997","CapEC",0.091
"cell_47362",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20907,7035,"blood_1001","UnEC",0.028
"cell_47380",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20910,6772,"blood_997","CapEC",0.409
"cell_47389",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,2,0,20911,6908,"blood_1002","CapEC",0.261
"cell_47417",0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,3,0,1,1,0,4,1,20913,7629,"blood_1004","CapEC",0.341
"cell_47438",1,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,1,2,1,0,2,0,1,0,20914,7528,"blood_1003","CapEC",0.164
"cell_47448",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,20913,15654,"blood_996","VEC_2",0.56
"cell_47501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20916,7030,"blood_1001","CapEC",0.202
"cell_47506",0,1,0,0,0,0,0,1,2,1,0,1,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,2,0,20925,15136,"blood_1005","CapEC",0.41
"cell_47515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,1,0,20918,7794,"blood_980","VEC_2",0.304
"cell_47549",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20929,7802,"blood_980","CapEC",0.677
"cell_47626",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20932,14229,"blood_1010","CapEC",0.488
"cell_47650",1,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,5,1,1,1,4,0,0,3,0,20935,7819,"blood_980","CapEC",0.329
"cell_47706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20929,6434,"blood_1007","other",-0.053
"cell_47770",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,20936,6447,"blood_1007","VEC_2",0.019
"cell_47799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20938,6461,"blood_1007","AEC",0.015
"cell_47857",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,20945,15133,"blood_1005","CapEC",0.085
"cell_47889",0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20942,15152,"blood_1005","CapEC",0.174
"cell_47908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20940,7835,"blood_980","CapEC",0.677
"cell_47915",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20943,14245,"blood_1010","other",-0.077
"cell_47924",0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20947,14262,"blood_1010","VEC_2",0.307
"cell_47932",1,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,20953,15562,"blood_1009","CapEC",0.249
"cell_47988",0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,20948,7841,"blood_980","CapEC",0.478
"cell_48021",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20950,6445,"blood_1007","VEC_2",0.067
"cell_48022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20951,6891,"blood_1014","CapEC",0.677
"cell_48054",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20955,16582,"blood_1013","UnEC",0.054
"cell_48088",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20957,15157,"blood_1005","CapEC",0.677
"cell_48125",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20961,6877,"blood_1014","AngEC",0.398
"cell_48141",0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,1,0,20962,14275,"blood_1010","UnEC",0.275
"cell_48290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20963,6444,"blood_1007","other",-0.053
"cell_48345",2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20969,6896,"blood_1014","AEC",0.119
"cell_48375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20972,14286,"blood_1010","AngEC",0.398
"cell_48379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20977,6454,"blood_1007","CapEC",0.006
"cell_48400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,20974,14298,"blood_1010","CapEC",0.22
"cell_48409",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20975,14319,"blood_1010","AEC",0.057
"cell_48419",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20974,6445,"blood_1007","CapEC",0.152
"cell_48430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20979,6886,"blood_1014","VEC_2",0.437
"cell_48455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20978,7863,"blood_1015","CapEC",0.006
"cell_48472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20983,14309,"blood_1010","VEC_2",0.437
"cell_48532",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20981,14288,"blood_1010","AngEC",0.28
"cell_48537",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20988,15945,"blood_1017","AngEC",0.161
"cell_48593",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20986,14731,"blood_1018","other",-0.014
"cell_48677",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20990,14743,"blood_1018","UnEC",0.093
"cell_48683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,20996,14349,"blood_1010","VEC_2",0.352
"cell_48730",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21004,14756,"blood_1018","CapEC",0.595
"cell_48738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20998,14362,"blood_1010","CapEC",0.006
"cell_48739",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21000,15714,"blood_1019","VEC_1",0.687
"cell_48745",0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,0,0,0,21005,15726,"blood_1019","VEC_1",0.639
"cell_48767",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21000,14377,"blood_1010","VEC_2",0.195
"cell_48781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21003,14390,"blood_1010","other",-0.074
"cell_48813",1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,21010,14739,"blood_1018","CapEC",0.112
"cell_48839",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21004,7309,"blood_1020","AEC",0.049
"cell_48861",0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21011,7000,"blood_1024","AEC",0.134
"cell_48864",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21011,14335,"blood_1010","other",-0.008
"cell_48891",0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21011,7327,"blood_1020","CapEC",0.292
"cell_48893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21010,14369,"blood_1023","CapEC",0.677
"cell_48903",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21013,7310,"blood_1020","CapEC",0.164
"cell_48938",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,21017,14503,"blood_1025","VEC_1",0.318
"cell_48986",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21022,14357,"blood_1010","AEC",0.739
"cell_48987",0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21020,14470,"blood_1021","CapEC",0.164
"cell_49006",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,21022,7008,"blood_1024","VEC_2",0.176
"cell_49012",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,21019,14484,"blood_1021","VEC_1",0.554
"cell_49017",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21019,15721,"blood_1019","AngEC",0.733
"cell_49028",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21025,15111,"blood_1028","CapEC",0.107
"cell_49035",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21022,14754,"blood_1018","other",-0.002
"cell_49095",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,21030,15398,"blood_1027","CapEC",0.418
"cell_49113",0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21030,14458,"blood_1030","VEC_1",0.546
"cell_49125",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21036,7304,"blood_1034","CapEC",0.006
"cell_49145",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21036,14423,"blood_1026","VEC_1",0.493
"cell_49170",0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21032,14578,"blood_1033","CapEC",0.348
"cell_49172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21037,14443,"blood_1030","other",-0.026
"cell_49185",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,21038,14752,"blood_1018","VEC_1",0.33
"cell_49193",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21039,15309,"blood_1032","other",-0.032
"cell_49204",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,21038,14683,"blood_1031","VEC_2",0.301
"cell_49215",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21036,14475,"blood_1021","CapEC",0.165
"cell_49239",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21044,15400,"blood_1027","CapEC",0.144
"cell_49242",0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,1,0,1,0,21046,7452,"blood_1029","CapEC",0.108
"cell_49252",0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21043,14460,"blood_1030","VEC_2",0.147
"cell_49273",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21045,14436,"blood_1030","AngEC",0.023
"cell_49275",1,0,0,1,0,0,0,0,1,0,2,1,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,21044,14707,"blood_1031","VEC_2",0.292
"cell_49311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21055,6340,"blood_1022","CapEC",0.15
"cell_49388",0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,21055,7305,"blood_1034","CapEC",0.184
"cell_49399",0,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,2,0,21058,15313,"blood_1032","CapEC",0.566
"cell_49419",0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,21060,6657,"blood_1036","CapEC",0.624
"cell_49449",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21062,15132,"blood_1039","other",-0.011
"cell_49477",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21059,7484,"blood_1035","CapEC",0.032
"cell_49479",0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,21063,7953,"blood_1037","CapEC",0.011
"cell_49538",0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21070,7475,"blood_1035","AEC",0.392
"cell_49541",0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,21068,7493,"blood_1035","CapEC",0.169
"cell_49557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21068,15302,"blood_1032","CapEC",0.008
"cell_49583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21070,15121,"blood_1039","VEC_2",0.437
"cell_49676",0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21078,7660,"blood_1041","AngEC",0.04
